SourceID,Status,StartDate,Facility,County,Latitude,Longitude,Desc,Count,Animal,State,GeoId
TXG920540,ACTIVE,2/27/2005,TDCJ BETO UNIT,Anderson,31.796578,-95.660682, 10924 TOTAL SWINE OF WHICH 3213 SWINE ARE (UNDER 55 LB) AND 7711 SWINE ARE (55 LB OR OVER),10924,SWINE,TX,48001
TXG921465,ACTIVE,9/1/2016,FARMS 52 95-96 & 509,Hansford,36.13,-101.145, 11092 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 11092 SWINE ARE (55 LB OR OVER),11092,SWINE,TX,48195
TXG921459,ACTIVE,9/1/2016,FARMS 54 98-99 & 511,Ochiltree,36.110833,-100.64833, 11302 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 11302 SWINE ARE (55 LB OR OVER),11302,SWINE,TX,48357
TXG920539,ACTIVE,2/27/2005,TDCJ CLEMENS UNIT,Brazoria,29.185783,-95.46595, 1248 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 1248 SWINE ARE (55 LB OR OVER),1248,SWINE,TX,48039
TXG921580,ACTIVE,11/10/2020,SEABOARD FOODS FARMS 1241 - 1244,Hansford,36.466,-101.3721, 134249 TOTAL SWINE OF WHICH 128749 SWINE ARE (UNDER 55 LB) AND 89500 SWINE ARE (55 LB OR OVER),134249,SWINE,TX,48195
TXG920906,ACTIVE,2/17/2007,SPARKY FARM,Sherman,36.0972,-101.8913, 138080 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 138080 SWINE ARE (55 LB OR OVER),138080,SWINE,TX,48421
TXG921504,ACTIVE,11/4/2017,PRESTAGE DUMAS FARM,Moore,35.787777,-102.03222, 14525 TOTAL SWINE OF WHICH 4400 SWINE ARE (UNDER 55 LB) AND 10125 SWINE ARE (55 LB OR OVER),14525,SWINE,TX,48341
TXG920526,ACTIVE,2/27/2005,TDCJ DARRINGTON UNIT,Brazoria,29.673333,-95.819444, 1490 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 1490 SWINE ARE (55 LB OR OVER),1490,SWINE,TX,48039
TXG920523,ACTIVE,2/27/2005,TDCJ RAMSEY UNIT,Brazoria,29.299722,-95.545222, 1580 TOTAL SWINE OF WHICH 0 SWINE ARE (UNDER 55 LB) AND 1580 SWINE ARE (55 LB OR OVER),1580,SWINE,TX,48039
TXG921410,ACTIVE,4/13/2017,SOW 9 AND NURSERIES 9 AND 10,Sherman,36.350324,-102.143445, 16700 TOTAL SWINE OF WHICH 8800 SWINE ARE (UNDER 55 LB) AND 7900 SWINE ARE (55 LB OR OVER),16700,SWINE,TX,48421
TXG920537,ACTIVE,2/27/2005,TDCJ EASTHAM UNIT,Houston,31.256115,-95.367523, 16879 TOTAL SWINE OF WHICH 4242 SWINE ARE (UNDER 55 LB) AND 12637 SWINE ARE (55 LB OR OVER),16879,SWINE,TX,48225
TXG920616,ACTIVE,4/29/2005,TEXAS TECH NEW DEAL RESEARCH FARM,Lubbock,33.729722,-101.73277, 1700 TOTAL SWINE OF WHICH 750 SWINE ARE (UNDER 55 LB) AND 950 SWINE ARE (55 LB OR OVER),1700,SWINE,TX,48303
TXG920911,ACTIVE,2/17/2007,SUNRAY FARM,Sherman,36.110555,-101.66777, 176000 TOTAL SWINE OF WHICH 176000 SWINE ARE (UNDER 55 LB) AND 88000 SWINE ARE (55 LB OR OVER),176000,SWINE,TX,48421
